name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Texas,BigXthaPlug,AMAR,2023-02-10,74,146133,True,https://p.scdn.co/mp3-preview/ac5d4773be178ffcdd52130fa89095acce98b3e3?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7j7ud2oFTJ8BjmeI8bjkQm,7j7ud2oFTJ8BjmeI8bjkQm,0.764,0.63,1,-5.993,0,0.268,0.0125,0.0,0.253,0.351,145.051,4
Send Me On My Way,Rusted Root,When I Woke,1994-01-01,67,263360,False,,https://open.spotify.com/track/6XK6Zw6JkFsHXzAcMWNiIr,6XK6Zw6JkFsHXzAcMWNiIr,0.5,0.704,0,-8.797,1,0.0695,0.125,1.79e-05,0.138,0.722,119.463,4
My Tears Are Becoming A Sea,M83,"Hurry Up, We're Dreaming",2011,58,151826,False,https://p.scdn.co/mp3-preview/2a5cdcd22abe21a8186329902b042ae956b3c933?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1Fwj0wThn3kTg8D7KgWdsU,1Fwj0wThn3kTg8D7KgWdsU,0.194,0.376,4,-11.356,1,0.0463,0.11,0.386,0.593,0.0723,48.637,3
Change Me,BigXthaPlug,TAKE CARE,2024-10-11,72,136866,True,https://p.scdn.co/mp3-preview/041c4e702aaad4773d83069ba64bd61ab6bfc34e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1AKXrejQiFURJnr9UKIjDb,1AKXrejQiFURJnr9UKIjDb,0.825,0.648,6,-5.122,0,0.272,0.0834,0.0,0.203,0.0645,125.009,4
Wait,M83,"Hurry Up, We're Dreaming",2011,59,343253,False,https://p.scdn.co/mp3-preview/3467172ce07e21d8ea1490f367fe7791611d4470?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3rTnGUeDrnZV22DvRuUuXr,3rTnGUeDrnZV22DvRuUuXr,0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911,4
Runaway,"Kanye West, Pusha T",My Beautiful Dark Twisted Fantasy,2010-11-22,80,547733,True,,https://open.spotify.com/track/3DK6m7It6Pw857FcQftMds,3DK6m7It6Pw857FcQftMds,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4
black & white,"Jeremy Zucker, Chelsea Cutler",black & white,2024-09-13,60,208960,False,,https://open.spotify.com/track/0j2l3sf15o9vczIATwA3Xr,0j2l3sf15o9vczIATwA3Xr,0.671,0.334,0,-10.292,1,0.0366,0.757,0.0,0.173,0.543,129.722,4
"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix","M.O.P., Busta Rhymes, Teflon, Remi Martin",Warriorz,2000-08-29,59,247693,True,https://p.scdn.co/mp3-preview/cf745db59ea1dacb77a9c74851a1a54ea119ff72?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5osSw3tL07Tuid7AWsvYcc,5osSw3tL07Tuid7AWsvYcc,0.68,0.894,1,-4.86,1,0.255,0.0206,0.0,0.462,0.803,94.089,4
Hesitate,"Golden Vessel, Emerson Leif",Hesitate,2018-01-15,50,251279,False,https://p.scdn.co/mp3-preview/86cf5e718749b3c5fcf1cef4d981382ee685d9a1?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6L4xcis49DzITX6J3dPdcz,6L4xcis49DzITX6J3dPdcz,0.406,0.53,2,-9.556,1,0.0449,0.735,0.0196,0.108,0.0698,122.79,4
Freakin' Out On the Interstate,Briston Maroney,Freakin' Out On The Interstate (Acoustic Version [Live]),2020-07-10,67,251906,False,https://p.scdn.co/mp3-preview/6676fb7981890194cfeadae9e8234e8a05c79798?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0awZwmlC6pxH65KTZpadmX,0awZwmlC6pxH65KTZpadmX,0.45,0.794,4,-5.015,1,0.0538,0.388,0.0,0.303,0.362,143.861,4
Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",Drip Harder,2018-10-05,79,145542,True,,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.39,112.509,4
"Чай, сахар",HLEB,"Чай, сахар",2013-04-21,22,173152,False,https://p.scdn.co/mp3-preview/9796c281553940aa11d6680ac877efd308c41d1c?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5sv4fi7aFtFM7Rdp9VnwaQ,5sv4fi7aFtFM7Rdp9VnwaQ,0.58,0.849,6,-3.746,0,0.0686,0.175,0.0,0.105,0.55,137.984,4
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage","Honestly, Nevermind",2022-06-17,79,218364,True,,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4
Adonis Interlude (The Montage) (with J. Cole),"Dreamville, J. Cole",Creed III: The Soundtrack,2023-03-03,57,95902,True,,https://open.spotify.com/track/5Mkbqot9JUaN5XhRgqITME,5Mkbqot9JUaN5XhRgqITME,0.472,0.836,1,-5.408,1,0.442,0.167,0.0,0.0979,0.444,195.565,4
Gold Digger,"Kanye West, Jamie Foxx",Late Registration,2005-08-30,78,207626,True,,https://open.spotify.com/track/1PS1QMdUqOal0ai3Gt7sDQ,1PS1QMdUqOal0ai3Gt7sDQ,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,4
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,AT.LONG.LAST.A$AP,2015-05-26,73,126960,True,https://p.scdn.co/mp3-preview/246ee8e467fba5701f3b15a81a69194079b41f2a?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1j6kDJttn6wbVyMaM42Nxm,1j6kDJttn6wbVyMaM42Nxm,0.485,0.72,6,-5.991,1,0.127,0.0123,0.0,0.0546,0.0471,207.982,4
Outro,M83,"Hurry Up, We're Dreaming",2011,60,247026,False,https://p.scdn.co/mp3-preview/49c222486609a1f624b78f1ea79d63087d248c85?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2QVmiA93GVhWNTWQctyY1K,2QVmiA93GVhWNTWQctyY1K,0.226,0.261,2,-11.276,1,0.0339,0.0301,0.0677,0.0628,0.084,108.915,4
Hit Stick,Kodak Black,Hit Stick,2024-08-09,59,193246,True,,https://open.spotify.com/track/0tBESQdomKNyQQQk32nfA4,0tBESQdomKNyQQQk32nfA4,0.574,0.527,1,-6.047,1,0.0375,0.0259,0.0,0.333,0.122,154.055,4
Fade Into You,Mazzy Star,So Tonight That I Might See,1993-10-05,82,295600,False,,https://open.spotify.com/track/1LzNfuep1bnAUR9skqdHCK,1LzNfuep1bnAUR9skqdHCK,0.417,0.33,9,-13.925,1,0.0275,0.247,0.000689,0.0677,0.175,157.113,3
Evergreen,Richy Mitch & The Coal Miners,RMCM,2017-05-17,84,87000,False,https://p.scdn.co/mp3-preview/fca7555fba8261b7ccc0aac1854a86033a12823b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6me7F0aaZjwDo6RJ5MrfBD,6me7F0aaZjwDo6RJ5MrfBD,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
Circles (SANtO x Lucky Luke) sped up reinvention,"SAINt JHN, Lucky Luke",Circles (Reinvented),2024-11-01,46,186777,False,,https://open.spotify.com/track/3W30duvwE5logrtT0ciX7O,3W30duvwE5logrtT0ciX7O,0.706,0.896,10,-6.612,0,0.0323,0.00286,0.748,0.0637,0.326,135.011,4
Until I Found You,Stephen Sanchez,Easy On My Eyes,2022-08-19,76,176666,False,,https://open.spotify.com/track/6VhuP99TE6gYNQRJIlAWFD,6VhuP99TE6gYNQRJIlAWFD,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,3
Go! (feat. Mai Lan),"M83, MAI LAN",Junk,2016-04-08,43,235733,False,https://p.scdn.co/mp3-preview/602336d940d808e943377fe1cebebcc6fbb3a391?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/09zN9QBOHe8795UVOvEtnt,09zN9QBOHe8795UVOvEtnt,0.497,0.742,7,-6.353,0,0.0291,0.00132,0.0395,0.0522,0.209,90.994,4
Full Circle,Half Moon Run,Dark Eyes,2013-01-01,35,181759,False,https://p.scdn.co/mp3-preview/1db8468d651977a99e587f0a1ff9237d4731e30e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7kywKzVASRlqIIQf47Yxvv,7kywKzVASRlqIIQf47Yxvv,0.562,0.73,2,-9.498,0,0.0324,0.134,0.000545,0.121,0.349,88.996,4
Slow Down,Twiceyoung,Little Mind Alike,2013-05-16,34,217153,False,https://p.scdn.co/mp3-preview/ee3530c564b572bed9acfa153aa87bd0d636f1ee?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/608JEuAS9UXSt39HvUw9aX,608JEuAS9UXSt39HvUw9aX,0.394,0.358,10,-11.483,1,0.0322,0.807,3.68e-06,0.118,0.248,155.343,4
Nevermind,Dennis Lloyd,Nevermind,2017-06-30,75,156600,False,https://p.scdn.co/mp3-preview/53dfd244b22ffa132a91d7b224885f44c2a776ee?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,63SevszngYpZOwf63o61K4,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,4
Warm with You,Hayden Calnin,Warm With You,2019-08-09,55,247749,False,https://p.scdn.co/mp3-preview/3265ae8d9bd286da1147a4ada3187edfba034b9e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0Pj6KjqwmJNdIOttPShZC9,0Pj6KjqwmJNdIOttPShZC9,0.557,0.364,2,-12.141,1,0.0294,0.794,0.7,0.31,0.293,101.985,4
UCLA,"RL Grime, 24hrs",NOVA,2018-07-27,59,192000,True,https://p.scdn.co/mp3-preview/e1ca9bcaec9e63fb95e38b4fa9f7fac26778733d?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0r8RKKIc4C8G6J9HAHzpaR,0r8RKKIc4C8G6J9HAHzpaR,0.536,0.879,1,-3.019,1,0.0616,0.0742,0.0,0.0847,0.335,140.119,4
Where I Belong,Will Swinton,Where I Belong,2024-10-25,39,195823,False,,https://open.spotify.com/track/2E8ghgd8gDdJLA88uhAIcs,2E8ghgd8gDdJLA88uhAIcs,0.73,0.27,3,-9.002,1,0.03,0.841,3.52e-06,0.111,0.137,126.918,4
Meet you at the Graveyard,Cleffy,"Clean Sheets, dirty walls",2023-10-06,74,172199,True,,https://open.spotify.com/track/2vXSHAPCNpWZ7DNFDkEDMz,2vXSHAPCNpWZ7DNFDkEDMz,0.602,0.386,8,-12.465,1,0.0379,0.57,0.000421,0.0919,0.164,145.016,4
California,Sons Of The East,Sons Of The East,2013-08-02,59,222186,False,https://p.scdn.co/mp3-preview/8113cb556155a6295bc777f99e0c484fc05b2a04?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/46BuJdwxV43a6qLrICP27l,46BuJdwxV43a6qLrICP27l,0.251,0.656,0,-7.46,1,0.0448,0.145,0.00151,0.152,0.53,82.956,4
Fall in Love with You.,Montell Fish,JAMIE,2022-07-22,77,132000,False,,https://open.spotify.com/track/4kJT7Yj6Za01KfKHjb7mZE,4kJT7Yj6Za01KfKHjb7mZE,0.538,0.0203,4,-23.163,1,0.0437,0.92,0.019,0.104,0.103,121.447,3
after dark x sweater weather,"daddy's girl, creamy, 11:11 Music Group",after dark x sweater weather (slowed and reverb),2022-06-13,53,290571,False,https://p.scdn.co/mp3-preview/c667cd9b2f02347e5d8f1a5c34af68a2bc3af57b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5SU2L9BQQ381CKKv5DXYEA,5SU2L9BQQ381CKKv5DXYEA,0.571,0.468,0,-11.423,0,0.0371,0.0107,0.0721,0.108,0.0307,140.034,4
The Difference,"Flume, Toro y Moi",The Difference,2020-03-11,66,139662,False,https://p.scdn.co/mp3-preview/323f72a5047c61f486b6ff9b8a6376fd33d1a419?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5kJ4BWZ9Y1qFIwwTbMIxYX,5kJ4BWZ9Y1qFIwwTbMIxYX,0.56,0.865,1,-1.148,1,0.0907,0.258,0.000162,0.083,0.424,159.963,4
Yet,the King will come,Yet,2023-04-30,60,302042,False,https://p.scdn.co/mp3-preview/8d21f1abc8a08c8e83e4ff840b08592de248d15f?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6I2GrwoJw23AKpqpE14KFq,6I2GrwoJw23AKpqpE14KFq,0.377,0.265,1,-12.67,1,0.0344,0.715,0.00347,0.11,0.173,135.801,4
There He Go,Kodak Black,Painting Pictures,2017-03-31,60,196113,True,https://p.scdn.co/mp3-preview/a09852574a2dbee96e8124c065d281350a81669a?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6canmpFnLHVUzvVWAodifz,6canmpFnLHVUzvVWAodifz,0.794,0.608,4,-6.822,0,0.0437,0.115,0.0,0.11,0.316,138.042,4
Juno,flipturn,Juno,2024-10-24,53,183318,False,https://p.scdn.co/mp3-preview/e878ddfaa87fdf852a821789e6c8377dfc9c8902?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7F35nM1uBD2AzkXSYgLenE,7F35nM1uBD2AzkXSYgLenE,0.615,0.731,4,-6.893,0,0.0353,0.00208,0.408,0.105,0.708,136.956,4
Midnight City,M83,"Hurry Up, We're Dreaming",2011,69,241440,False,https://p.scdn.co/mp3-preview/5aa3429867af2283925c942e7051342a464460b0?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1eyzqe2QqGZUmfcPZtrIyt,1eyzqe2QqGZUmfcPZtrIyt,0.526,0.712,11,-6.525,0,0.0356,0.0161,0.0,0.179,0.32,105.009,4
Everybody Talks,Neon Trees,Picture Show,2012-01-01,76,177280,True,,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq,2iUmqdfGZcHIhS3b9E9EWq,0.471,0.924,8,-3.906,1,0.0584,0.00301,0.0,0.313,0.716,154.962,4
RAPSTAR,Polo G,Hall of Fame,2021-06-11,77,165925,True,https://p.scdn.co/mp3-preview/6920a1b1e7a88385654fdb76c83b054609d16172?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg,18vXApRmJSgQ6wG2ll9AOg,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,4
Sabotage,Beastie Boys,Ill Communication,1994-05-23,71,178440,True,,https://open.spotify.com/track/0Puj4YlTm6xNzDDADXHMI9,0Puj4YlTm6xNzDDADXHMI9,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,4
Ray Charles,Chiddy Bang,Breakfast,2010-09-13,29,223480,True,https://p.scdn.co/mp3-preview/814739fab39f1a1ce8148eceac465a296eec071b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7Fk94wDxTAQVUQw4dUpRyK,7Fk94wDxTAQVUQw4dUpRyK,0.709,0.889,1,-4.118,1,0.138,0.16,0.0,0.0469,0.822,95.01,4
