name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,2024-11-08,69,298130,True,,https://open.spotify.com/track/3mg9jYNC1NihbthlglzrWP,3mg9jYNC1NihbthlglzrWP,0.848,0.712,1,-3.574,0,0.0981,0.221,0.0,0.106,0.692,91.98,4
High Road,Zach Bryan,High Road,2024-11-07,65,199893,True,https://p.scdn.co/mp3-preview/ed1ff5ddabcf919544dbb51ed234ad41dc1cc61f?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/4CcozggmhXmndssEDH6YHR,4CcozggmhXmndssEDH6YHR,0.47,0.229,4,-11.028,1,0.0406,0.815,0.0,0.172,0.213,113.404,4
Nice To Meet You,Myles Smith,A Minute...,2024-11-08,60,176000,False,https://p.scdn.co/mp3-preview/ac23bd29a521263b15feca21e5f57f76673b824a?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/726SEjbF3ToEbYbn43gnxl,726SEjbF3ToEbYbn43gnxl,0.762,0.783,5,-5.206,0,0.0387,0.329,0.0,0.0536,0.84,115.091,4
last night's mascara,Griff,last night's mascara,2024-11-08,60,177350,False,https://p.scdn.co/mp3-preview/256309fdbd026ad8b3a8d00a354b383570634369?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2lqoRoUIVwJZrDzmNOTQZP,2lqoRoUIVwJZrDzmNOTQZP,0.71,0.704,9,-5.592,1,0.0921,0.0497,0.0,0.0947,0.471,124.964,4
Syrup Sandwiches (feat. Joey Bada$$),"Cordae, Joey Bada$$",Syrup Sandwiches (feat. Joey Bada$$),2024-11-07,57,173320,True,https://p.scdn.co/mp3-preview/ae373ec34918606a026b6134c926ca3f68b9513f?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2BYffiV0F3ZGKVLuQjmjY2,2BYffiV0F3ZGKVLuQjmjY2,0.488,0.682,11,-8.376,1,0.331,0.837,0.0,0.161,0.655,66.284,3
Better,Alice Phoebe Lou,Better,2024-11-08,48,232290,False,https://p.scdn.co/mp3-preview/a6c1e3260bba7a001de976faba1dbaff6476fbea?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7cT6TnC60ou32XkbfYnH9v,7cT6TnC60ou32XkbfYnH9v,0.76,0.594,2,-8.259,1,0.0274,0.505,0.000418,0.112,0.964,108.128,4
Little Things,Ella Mai,3,2024-11-03,59,172924,False,,https://open.spotify.com/track/2HA4tNLIXY1dGvDVCLeslk,2HA4tNLIXY1dGvDVCLeslk,0.725,0.566,11,-5.989,1,0.16,0.477,0.0,0.142,0.232,135.794,4
Craving 4 U (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",Craving 4 U (feat. bbyclose),2024-11-08,48,139300,False,https://p.scdn.co/mp3-preview/850fc440a2e3d4c4574381aabeb2d1bba584d666?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2j6CAcq3nUjNCdEAE9xYpZ,2j6CAcq3nUjNCdEAE9xYpZ,0.621,0.834,11,-5.308,0,0.0336,0.0136,0.046,0.29,0.516,143.059,4
El Camino High,Moody Joody,Dream Girl,2024-11-08,40,227792,False,,https://open.spotify.com/track/2vcHGq62LLg2quONoXB32B,2vcHGq62LLg2quONoXB32B,0.615,0.626,9,-8.691,1,0.026,0.0679,0.02,0.0962,0.457,109.993,4
HOWLING,XG,AWE,2024-11-08,64,188702,False,https://p.scdn.co/mp3-preview/3682d36bf064d9529a24a894f2b8365957f4cd5c?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2uaZaTMbYE5KAk8gbdzBgW,2uaZaTMbYE5KAk8gbdzBgW,0.684,0.718,9,-4.758,1,0.0539,0.269,0.0,0.116,0.254,131.026,4
Come Outside (So Sick),Real Boston Richey,Richey Rich,2024-11-08,41,160500,True,https://p.scdn.co/mp3-preview/0bffe974c7ebbc6a36d42ea605801567d152a833?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6ueIEZa5Gbu6n9jLdFUyh9,6ueIEZa5Gbu6n9jLdFUyh9,0.56,0.692,7,-6.13,1,0.366,0.216,0.0,0.288,0.523,106.214,5
Save Face Story,"State Champs, Slope",State Champs,2024-11-08,44,199811,True,https://p.scdn.co/mp3-preview/ba7e8053cfd94b246591839de79378ee9678e4af?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3OcGET39AhKjyeXAjyxTqi,3OcGET39AhKjyeXAjyxTqi,0.455,0.953,2,-3.427,1,0.124,0.000625,2.24e-06,0.276,0.639,164.891,4
Heaven II,Julia Michaels,Heaven II,2024-11-08,51,147461,False,https://p.scdn.co/mp3-preview/ba9475f3d1ae56444626c2ee000670211c6ce214?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3pRuLrdzQsaQHnBNijp6gN,3pRuLrdzQsaQHnBNijp6gN,0.631,0.867,7,-5.229,1,0.0419,0.0316,0.0,0.104,0.54,153.999,4
yoyo,"piri & tommy, piri, Tommy Villiers",about dancing,2024-11-08,41,157028,False,https://p.scdn.co/mp3-preview/54d0c1b956dd9f5f4a15d768f09d3d8e5e2ab250?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6DNVY8fSGfbK28aO0qhIbG,6DNVY8fSGfbK28aO0qhIbG,0.763,0.718,2,-7.225,0,0.0535,0.545,0.0214,0.0709,0.56,87.506,4
Loving You (feat. Maverick Sabre),"Jorja Smith, Maverick Sabre",Loving You / Don't Let Me Go,2024-11-07,52,152610,False,https://p.scdn.co/mp3-preview/26ba50b86265a30b3a7ca6117d7ad5184de25952?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3Jx1s38DVgJJwuoxAGi7kh,3Jx1s38DVgJJwuoxAGi7kh,0.651,0.285,6,-7.353,1,0.0336,0.586,0.0,0.0908,0.311,110.553,4
Give My Heart,Junior Varsity,Give My Heart,2024-11-05,38,207695,False,https://p.scdn.co/mp3-preview/7306f94c701a7cf97d2e58eaae646bb355906219?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3mjyXZRQIEe6BuarfoJUDK,3mjyXZRQIEe6BuarfoJUDK,0.688,0.871,11,-6.1,0,0.0439,0.0664,0.000781,0.118,0.884,145.023,4
Poeira Cosmica,"BADBADNOTGOOD, Tim Bernardes",Poeira Cosmica,2024-11-07,47,253482,False,https://p.scdn.co/mp3-preview/a73f6030e4a40cf7847ea2f26293ad5b04b5e150?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2enifRQ2CMEK8VPFhtX7cR,2enifRQ2CMEK8VPFhtX7cR,0.409,0.641,5,-6.92,1,0.03,0.237,0.346,0.119,0.429,165.94,4
lo que dura la canción,"MAGNA, Cuco",lo que dura la canción,2024-11-08,38,191282,False,https://p.scdn.co/mp3-preview/c3d7efedbafc6fb2d447fdf1784ebe751ddc2b7b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0Tn2iauUDbOKWpP3et4Wuz,0Tn2iauUDbOKWpP3et4Wuz,0.668,0.536,9,-7.688,1,0.0293,0.636,0.0016,0.43,0.232,116.947,4
Love Is The Only Thing,Lost Frequencies,Love Is The Only Thing,2024-11-08,62,171093,False,https://p.scdn.co/mp3-preview/5f3d9cf29e6a061c5a8113fdc3ea43d724755ed8?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/4r6c2ClnuYLwNv4lEM7XlW,4r6c2ClnuYLwNv4lEM7XlW,0.608,0.688,5,-8.597,0,0.0499,0.0554,0.00736,0.08,0.214,127.938,4
2DK,grentperez,2DK,2024-11-07,46,196343,True,https://p.scdn.co/mp3-preview/3454aa55883b61462f761730f869eb9bcd877d6d?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7ld4T52HZbs0OFSN6ZqciT,7ld4T52HZbs0OFSN6ZqciT,0.657,0.691,0,-6.953,1,0.0409,0.11,0.504,0.687,0.579,100.01,4
