name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",CHROMAKOPIA,2024-10-28,89,197019,True,https://p.scdn.co/mp3-preview/12f68f98e16d9cd9c8d9bdaaad2ad41fdeec411e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1QoyuMHNBe7lg3YW4Qtll4,1QoyuMHNBe7lg3YW4Qtll4,0.576,0.884,0,-5.058,1,0.555,0.357,0.0,0.368,0.373,150.45,4
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,2024-10-28,86,255915,True,https://p.scdn.co/mp3-preview/39118bb3c2f51655fb95e1001cb17bb66e34e5ac?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3tFed7YsjGnIfxeLEQwx3R,3tFed7YsjGnIfxeLEQwx3R,0.505,0.812,1,-3.986,1,0.461,0.285,0.0,0.444,0.664,80.09,4
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,90,166300,True,,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,7ne4VBA60CxGM75vw0EYad,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,99,251667,False,,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,2plbrEY59IikOBgBGLjaoe,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",CHROMAKOPIA,2024-10-28,87,253834,True,https://p.scdn.co/mp3-preview/39b44250b6b7f7c8c664714003a73a7824685402?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0VaeksJaXy5R1nvcTMh3Xk,0VaeksJaXy5R1nvcTMh3Xk,0.373,0.818,3,-3.19,0,0.102,0.36,0.0,0.434,0.361,97.571,4
Sailor Song,Gigi Perez,Sailor Song,2024-07-26,92,211978,False,,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j,2262bWmqomIaJXwCRHr13j,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,4
Rah Tah Tah,"Tyler, The Creator",CHROMAKOPIA,2024-10-28,87,165412,True,https://p.scdn.co/mp3-preview/91d7129835967bf2c5a168c6e243b46f3333ac64?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5RePVWy39tLpHH0WwXgBsK,5RePVWy39tLpHH0WwXgBsK,0.661,0.878,1,-4.099,1,0.31,0.00289,0.0,0.381,0.514,82.557,4
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,97,210373,False,,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,94,157279,False,,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,5G2f63n7IPVPPjfNIGih7Q,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,4
APT.,"ROSÉ, Bruno Mars",APT.,2024-10-18,97,169917,False,https://p.scdn.co/mp3-preview/6b7763066dd42d94dc893f12bb135d7d5392e386?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,5vNRhkKd0yEAg8suGBpjeY,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
